self_id,id1,id2,id3,id4,id5,id6,id7,id8
23795,30686,6331,6400,30790,6397,30704,23795,6332
23904,28100,50215,51874,19459,28469,55030,28096,72600
23913,30686,6331,6400,30790,6397,30704,23795,6332
24057,24057,27229,8514,19141,8310,19558,2780,1549
24059,7675,13350,39299,16638,7673,28350,22450,7672
24082,26420,41866,72008,28431,51599,73843,26419,28430
24185,18713,45923,14454,1589,20417,49391,40028,33927
24233,51520,33040,70798,66484,41508,66483,62342,67405
24244,45855,42331,32283,42195,24244,41647,27785,38619
24443,24443,11325,24444,11324,45450,7849,3824,436
24444,11324,11325,20584,24443,45450,7849,3824,17538
24473,18203,11900,18382,33505,32486,17655,23669,25386
24722,17525,42195,38619,42332,42331,25952,25405,45855
24905,17538,7463,21822,35036,16074,19960,5441,11757
24989,33880,35386,75155,73020,72989,55192,44081,20757
25049,59826,59827,14397,55353,20199,44686,42904,25952
25101,14589,6150,27828,41503,14592,40140,76508,8950
25103,23568,21483,41788,54545,48301,53677,13545,11493
25153,11664,55609,13006,55610,9511,40268,73339,28726
25181,26007,8310,12197,61801,14299,27586,9118,1554
25196,39606,54059,54134,53959,54000,54028,53908,54330
25214,39550,1539,29241,27488,22169,26350,20204,28668
25250,32084,25252,20367,62868,22213,66229,19898,41508
25251,57686,32084,25252,20367,22213,19898,16893,27753
25252,25252,32084,22213,19898,16893,27753,25251,16892
25382,5411,1622,2106,43312,20470,1550,36670,24905
25386,18203,18382,8575,562,24473,17285,11900,17183
